NIM,NAMA,UTS,UAS,TGS1,TGS2,TGS3,RATA2TGS,N_AKHIR,GRADE,STATUS,KETERANGAN
123444,DIANA,71,40,81.0,76.0,80.0,79.0,61.0,D,TDK LULUS,Remedial
245455,DANI DEWI,61,53,75.0,70.0,71.0,72.0,61.1,D,TDK LULUS,Remedial
556678,RATNA,92,89,86.0,89.0,74.0,83.0,88.1,A,LULUS,
554454,DONI,87,56,0.0,0.0,0.0,0.0,48.5,D,TDK LULUS,Tgs tdk lengkap
445565,RENDI,62,57,84.0,70.0,87.0,80.33,65.5,C,LULUS,
555223,RAHMAT,51,50,76.0,81.0,88.0,81.67,59.8,D,TDK LULUS,Remedial
545444,EKA,82,48,79.0,77.0,81.0,79.0,67.5,C,LULUS,
566445,JUWITA,81,74,0.0,0.0,73.0,24.33,61.2,C,LULUS,
454542,YUNI,62,88,87.0,81.0,89.0,85.67,79.5,B,LULUS,
545444,WAHYUDIN,95,53,81.0,70.0,81.0,77.33,72.9,B,LULUS,
4347478,LELA ANEMIA,68,57,68.0,90.0,99.0,85.67,68.9,C,LULUS,
